,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
108,25723575,20027279,21957898,47379481,26343962,37818283,52380389,40099576,30760824,37753485,0.5487026310809883
109,21509117,35330491,34612606,448591,57490778,37172172,52706892,22022940,23624939,35849412,0.48071693117900355
110,21774846,20690204,55961882,23412619,28373316,20579699,30059628,51051910,37062737,23693911,0.538186251765117
111,24738755,550670,53809278,19335128,43996285,47543475,24989861,21514441,38858491,34289922,0.54143813763359
112,41099182,24500967,63580429,247045,26561155,38804033,55471591,45016048,29381281,62220508,0.500429363116485
113,49034462,45216288,43372414,20356645,19814043,44319573,37265808,19271429,52263606,24816984,0.5101897247547705
114,37333073,35678059,30429969,19952811,30917443,35160871,46769578,44863557,40070577,61669036,0.4717197018176656
115,24399466,28478147,21184027,20294244,37978629,34214228,20679894,26340823,30277385,37387194,0.47538021870571867
116,42930310,25232252,38612265,32413771,40883880,20894244,39849653,37029661,56109577,20760029,0.542163201337081
117,22912994,46651710,22035535,36729492,58334418,31757682,56516224,27764534,34276897,36729823,0.5016288285541832
118,39881447,34089880,47544663,31220418,47311086,23705006,21725718,25135534,34313793,50892800,0.5382805564225118
119,31378095,26483454,24772493,25082080,35400893,26292565,21246262,32743008,45680493,42929387,0.47287816119769677
120,25006489,35357532,23186073,32281928,50651536,314361,21309949,47471162,39545573,24477790,0.5003494816354324
121,26064950,24973097,39954240,51840584,64764496,20254255,34881294,21312830,45825797,31421648,0.5435260830558827
122,60785643,29759260,43227821,30942101,32885687,25974096,35800460,61180503,47625238,23783676,0.4580363284296974
123,36551730,47125352,53084116,41305527,32592343,40271118,41799480,21260366,43323460,51569622,0.5023302771265803
124,43864726,24204338,24021871,26531887,49659681,28629166,27742330,49171262,33984305,37237186,0.5493157649608901
125,49289652,28791499,39821232,32296820,60679430,30363766,19704111,42172981,26309268,22814225,0.5434046888207806
126,47611470,22156801,24916871,19763987,24519901,53308883,20091601,32238079,21605603,35706491,0.4840403508382828
127,19949095,26678503,21889933,22082417,50503150,25776887,37094525,28749725,37755620,43144349,0.49419012836586923
128,52345399,43246479,21687084,32014008,28923973,20004741,53869710,21398143,20550102,31378387,0.46315788334221014
129,21681,21018169,21115394,19770340,31664820,24525236,40453701,59724456,46084823,27347024,0.48403785708420966
130,47188021,19523062,51555989,23624382,25336924,56402780,26795003,40469257,22147023,61715473,0.4988105163410882
131,44878827,40220605,20200459,43091300,62358092,32213210,64915711,66529209,36539957,23232577,0.48954952326315765
132,45371393,18995503,45783003,34091550,340883,59072866,31337491,62224601,20726270,21127020,0.4828596493882077
133,53868718,50770984,31775648,58811360,20019937,23389067,39803002,57292962,44414640,24854185,0.4590453358700725
134,23845932,22562150,43097537,47649534,20263082,37319217,39043335,19984843,19705620,26279761,0.45619522527573364
135,35047678,23237847,39682573,290654,36431163,31473590,24818376,24214009,63980594,20665709,0.5487805172113984
136,59692600,27435313,46323726,20027096,29532594,51949098,38761480,37416632,24006504,38231339,0.4538194269730433
137,48619047,41232151,23520701,31737552,53813773,20495295,47137994,20986712,26365141,49348581,0.4555215244048994
138,31642855,28437488,35871815,19143963,25281551,40358634,44277183,39225590,19816522,43441998,0.4851987834635002
139,22218315,40669734,51027862,20957327,23339875,43435214,22727697,26077566,34514919,27629322,0.45833254959576436
140,55444932,28753078,63575247,40404016,60413745,21357421,32188445,38970634,47222556,331253,0.48697227478815186
141,25060465,26106718,26209523,25816173,35099573,50471964,22091357,46352707,23560377,57760265,0.5388971914093271
142,20347813,23362592,21389484,39733453,31311101,60359160,61539039,36817921,35224224,26861275,0.4884067749282135
